Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0006256-0031547,30,coffee-based beverages,Identical,30,coffee,Ready-to-drink coffee-based beverages,"Coffee, namely roasted or ground coffee beans for beverage preparation"
0059214-0011305,2,lacquers,Similar,2,thinners for lacquers,Protective and decorative chemical coating preparations in the nature of lacquers,Chemical thinners for lacquers
0057778-0013712,41,teaching,Dissimilar,35,opinion polling,Educational services in the field of teaching,"Business research services, namely, opinion polling for gathering and analyzing public opinions"
0046364-0017686,25,clothing,Identical,25,short sets [clothing],Garments and articles of dress for covering the human body,"Articles of clothing, namely, short sets for dressing the human body"
0030502-GSCSup-0052601,3,cosmetics,Similar,3,aromatic extracts,Non-medicated cosmetics for beauty and personal care,Concentrated aromatic chemical substances for perfumery and essential oil applications
0026835-0014241,21,utensils for household purposes,Identical,21,combs,Manual implements and tools for general household use,Hair combs for personal grooming
0001698-0013564,9,animated cartoons,Identical,9,compact discs,Downloadable or recorded digital audiovisual files featuring animated cartoons,"Digital recording and storage media, namely, compact discs for storing and reproducing sound, images, or data"
0012320-0035972,30,vinegar,Dissimilar,29,milk products,Edible vinegar for food and condiment purposes,"Edible food substances derived from milk, namely, milk products"
0058344-0037369,11,steam generating installations,Dissimilar,11,fuel economisers,Industrial apparatus and installations for generating steam,Apparatus for economizing fuel in heating and steam generating installations
0031480-0047515,29,albumin milk,Dissimilar,29,frozen fruits,Albumin milk for food consumption,"Preserved food products, namely, frozen fruits"
0072818-0072246,18,animal skins,Dissimilar,12,ships,"Animal skins and hides, unprocessed or partly processed",Waterborne ships
0059411-0033987,12,cars,Similar,12,upholstery for vehicles,Motor cars for transport,"Fabric, padding, and springs for vehicle interiors (upholstery)"
0057584-0016088,7,"soldering irons, electric",Dissimilar,9,optical apparatus and instruments,Electric soldering irons [power-operated tools],Scientific optical apparatus and instruments
0025613-0067698,33,alcoholic beverages (except beer),Identical,33,aperitifs with a distilled alcoholic liquor base,"Potable alcoholic beverages, excluding beer",Alcoholic aperitifs with a distilled liquor base
0059527-0047666,3,abrasives,Dissimilar,5,dietary supplements and dietetic preparations,"Chemical or mineral preparations, namely, abrasives for grinding, polishing and cleaning",Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals
0037696-0048098,9,wrist rests for use with computers,Dissimilar,9,apparatus and instruments for transforming electricity,"Ergonomic wrist rests, being computer peripheral accessories",Electrical apparatus and instruments for transforming electricity
0036087-0048105,9,signal lanterns,Identical,9,signalling apparatus and instruments,Light apparatus for emitting visual signals,Scientific and technical apparatus and instruments for signalling
0001874-0031511,9,sound transmitting apparatus,High similar,9,sound recording apparatus,Electronic audio devices for transmitting sound signals,Electronic apparatus for sound recording
0031468-0078171,9,planimeters,Identical,9,measuring devices,Planimeters [measuring instruments],Scientific and technical measuring instruments and apparatus
0013808-0037239,20,beds,Low similar,20,cushions,Furniture in the nature of beds for sleeping,Padded cushions for comfort and support
0077503-0014090,31,raw horticultural products,Low similar,32,non-alcoholic beverages,Unprocessed horticultural goods for cultivation and harvest from gardens,Potable liquids without alcoholic content
0011715-0020442,3,ethereal oils,Identical,3,bases for flower perfumes,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy",Chemical bases for manufacturing flower perfumes
0024570-0041981,29,"mushrooms, preserved",High similar,29,preserved vegetables,Preserved edible mushrooms,"Vegetables preserved by canning, freezing, drying or other methods for consumption"
0030502-0033658,3,cosmetics,Identical,3,eye lotions,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic eye lotions
0059146-0057432,1,sensitized photographic plates,Dissimilar,1,"synthetic resins, unprocessed",Plates coated with light-sensitive chemical preparations for photographic imaging,Unprocessed synthetic resins for industrial purposes
0046364-0067165,25,clothing,Identical,25,linen clothing,Garments and articles of dress for covering the human body,Articles of clothing made from linen fabric
0000434-0012658,30,tapioca,Dissimilar,31,"vegetables, fresh",Edible tapioca [foodstuff],Raw and unprocessed fresh vegetables
0048094-0058772,5,materials for dressings,Identical,5,cotton for medical purposes,Medical materials for surgical and wound dressings,Sterile absorbent cotton for medical purposes
0011863-0072818,25,thermally insulated clothing,Dissimilar,18,animal skins,"Articles of clothing, namely, thermally insulated clothing","Animal skins and hides, unprocessed or partly processed"
0059451-0039782,5,fungicides,Similar,5,disinfectants,"Chemical preparations, namely, fungicides for agricultural and horticultural use",Chemical preparations in the nature of disinfectants
0057118-0029662,16,photographs [printed],Similar,16,portraits,Printed photographs on paper or similar materials,Printed matter in the form of portraits
0072390-0047941,25,footwear,Dissimilar,28,fairground and playground apparatus,Articles of footwear for covering and protecting the feet,Apparatus for fairgrounds and playgrounds
0047729-0047733,8,lifting tools,Dissimilar,9,"optical devices, enhancers and correctors",Hand-operated tools and implements for lifting and prying,Physical optical apparatus and instruments for enhancing and correcting images
0022129-0025613,33,"fruit extracts, alcoholic",Similar,33,alcoholic beverages (except beer),Alcoholic fruit extracts for beverages,"Potable alcoholic beverages, excluding beer"
0058963-0046364,25,hats,Similar,25,clothing,"Headwear, namely, hats",Garments and articles of dress for covering the human body
0048110-0036280,12,apparatus for locomotion by land,Similar,12,reduction gears for land vehicles,Vehicles and apparatus for locomotion by land,"Mechanical gear systems, namely, reduction gears, for land vehicles"
0034938-0046858,6,frameworks of metal,Similar,6,ladders of metal,Metal frameworks for construction and structural support,Ladders constructed entirely of metal
0030037-0024247,31,agricultural produce (unprocessed -),Identical,31,"lemons, fresh",Unprocessed raw agricultural produce,Fresh lemons.
0047687-0047744,7,"agricultural, earthmoving, construction, oil and gas extraction and mining equipment",Dissimilar,9,"magnets, magnetizers and demagnetizers","Power-operated machines and implements for agricultural, earthmoving, construction, oil and gas extraction, and mining operations","Physical articles and apparatus, namely magnets, magnetizers, and demagnetizers"
0058836-0046364,18,travelling bags,Dissimilar,25,clothing,Handbags for carrying personal belongings during travel,Garments and articles of dress for covering the human body
0051438-0057172,35,business management of retail outlets,Identical,35,business management,Business management services for retail sales outlets,Business management services
0030502-0060364,3,cosmetics,Identical,3,make-up removing gels,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic make-up removing gel
0014135-0047651,3,tailors' wax,Identical,3,tailors' and cobblers' wax,"Waxy preparations for tailors, for marking fabric or lubricating needles",Wax-based preparations for tailors' fabric treatment and cobblers' shoe and leather care
0013520-0021648,11,drying installations,Dissimilar,19,"building panels, not of metal",Industrial and domestic drying installations and apparatus,Non-metallic building panels for construction
0047163-0018099,11,heating apparatus,Dissimilar,11,level controlling valves in tanks,Apparatus for generating heat,"Level controlling valves for tanks in heating, cooling, or water supply installations"
0015015-0071943,9,"electronic publications, downloadable",Dissimilar,9,fire extinguishers,"Downloadable digital files containing publications such as books, magazines, or reports",Portable fire extinguishers for suppressing small fires
0046472-0031547,29,"vegetables, cooked",Dissimilar,30,coffee,Edible vegetable foodstuffs prepared by cooking,"Coffee, namely roasted or ground coffee beans for beverage preparation"
0057708-0022493,8,electric irons,Dissimilar,9,coin-operated mechanisms,Hand-operated electric irons for smoothing fabric,Mechanical components for actuating coin-operated apparatus
0048105-0003313,9,signalling apparatus and instruments,Identical,9,detectors,Scientific and technical apparatus and instruments for signalling,Electronic detectors for sensing and measuring
0072818-0018870,18,animal skins,Dissimilar,18,horseshoes,"Animal skins and hides, unprocessed or partly processed",Horseshoes [equestrian equipment]
0059171-0013104,3,soap,Identical,3,shower soap,Preparations in the nature of soap for cleaning and washing,Soap for showers
0023365-0016088,9,cash registers,Dissimilar,9,optical apparatus and instruments,Electronic accounting apparatus for recording and calculating sales transactions and handling cash,Scientific optical apparatus and instruments
0023594-0047441,36,savings bank services,Dissimilar,36,real estate affairs,Banking services for administering savings accounts,"Services related to real property, namely, managing real estate affairs"
0041652-0041917,18,bags,Low similar,18,clothing for pets,Carrying bags and luggage,"Apparel for domestic animals, namely, clothing for pets"
0046914-0072421,29,"fruit, preserved",Dissimilar,30,spices,Preserved fruit for food consumption,Aromatic plant-derived spices for food flavoring
0007176-0071815,5,teeth filling material,Dissimilar,1,silicon,"Dental preparation, namely, material for filling teeth",Chemical element silicon for industrial and scientific applications
0059270-0048122,24,pillowcases,Dissimilar,27,matting,"Textile household linen, specifically pillowcases","Floor matting, not of textile, for covering existing floors"
0058849-0077127,9,software,Identical,9,virtual and augmented reality software,Downloadable and recorded computer software,Downloadable computer software for creating virtual reality environments and providing augmented reality experiences
0040925-0078171,9,spectrograph apparatus,Identical,9,measuring devices,Scientific optical instrument for analyzing and recording electromagnetic spectra,Scientific and technical measuring instruments and apparatus
0047314-0006559,7,vending machines,Dissimilar,7,vacuum cleaner bags,"Automatic machines for dispensing products, namely, vending machines",Disposable and reusable dust collection bags for vacuum cleaners
0058056-0037277,18,bags for sports,Dissimilar,18,leather and imitations of leather,Carrying bags adapted for sports,"Processed leather and synthetic imitations thereof, for manufacturing"
0041416-0007421,9,calculators,Dissimilar,9,phonograph records,Electronic calculating devices,Discs for analog sound recordings [phonograph records]
0059485-0024767,30,malt biscuits,Similar,30,rice-based snack food,"Baked confectionery products, namely, malt biscuits",Prepared edible snack food made primarily from rice
0016334-0057794,30,sausage binding materials,Dissimilar,30,edible ices,Food-grade binding materials for use in sausages,"Frozen confectionery food products, namely, edible ices"
0059130-0071943,28,slot machines [gaming machines],Dissimilar,9,fire extinguishers,Coin-operated gaming machines for entertainment or gambling purposes,Portable fire extinguishers for suppressing small fires
0047934-0047967,29,dairy products and dairy substitutes,Dissimilar,30,convenience food and savoury snacks,"Dairy products (e.g., milk, cheese, yogurt) and plant-based dairy substitutes for food purposes.","Convenience food and savoury snacks, including ready-to-eat meals and snack items, for human consumption."
0058861-GSCSup-0147221,14,watches,Dissimilar,14,key fobs made of leather or leather imitations,Portable horological instruments for measuring and displaying time [watches],Key fobs made of leather or leather imitations [imitation jewellery]
0018817-0041433,5,chemical preparations for pharmaceutical purposes,Similar,5,nutritional supplements,Chemical preparations for pharmaceutical use,Dietary supplements for human and animal consumption
0047666-0014090,5,dietary supplements and dietetic preparations,Dissimilar,32,non-alcoholic beverages,Nutritional chemical preparations for dietary supplementation and dietetic purposes for humans and animals,Potable liquids without alcoholic content
0059328-0032384,39,electricity distribution,Similar,39,storage of electricity,Electricity distribution services,"Services for the storage of electricity, holding and maintaining electrical energy for later use"
0030502-0033413,3,cosmetics,Identical,3,hair permanent treatments,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic preparations for permanent hair treatments
0027788-0059215,1,wallpaper removing preparations,Dissimilar,2,varnishes,Chemical solutions for removing wallpaper,Transparent protective and decorative chemical coating preparations in the nature of varnishes
0023832-0035331,35,advertising,Identical,35,preparation of advertising material,Advertising services,Preparation services for advertising material
0001646-0037347,16,"bags [envelopes, pouches] of paper or plastics, for packaging",Dissimilar,16,teaching materials [except apparatus],"Flexible containers of paper or plastics for wrapping and packaging goods (e.g., bags, envelopes, pouches)",Non-electronic teaching materials for instructional purposes
0042465-0044447,38,telecommunication services,Identical,38,communication by radio,Services for transmitting and receiving information via telecommunication networks,Telecommunications services by radio
0019492-0011106,26,hooks and eyes,Dissimilar,26,shuttles for making fishing nets,Small hooks and eyes fasteners for clothing and haberdashery,"Hand tools, namely, shuttles for making fishing nets"
0059506-0031637,9,video recorders,Identical,9,audiovisual apparatus,"Electronic audiovisual apparatus, namely, video recorders for recording and reproducing video and audio","Electronic apparatus for recording, transmitting, reproducing, or processing sound and images"
0047665-0047934,5,dental preparations and articles,Dissimilar,29,dairy products and dairy substitutes,"Medical-grade chemical preparations and articles for dental purposes, including fillings, waxes, and impression materials","Dairy products (e.g., milk, cheese, yogurt) and plant-based dairy substitutes for food purposes."
0029473-0018761,8,razors,Dissimilar,8,sword scabbards,Hand-operated razors for shaving,"Sword scabbards, being protective sheaths for side arms."
0046364-0001213,25,clothing,Identical,25,blousons,Garments and articles of dress for covering the human body,Clothing in the nature of blousons
0030502-0030926,3,cosmetics,Dissimilar,10,condoms,Non-medicated cosmetics for beauty and personal care,Articles for providing contraception and protection during sexual activity
0047670-0047790,5,medical and veterinary preparations and articles,Dissimilar,10,medical clothing,"Pharmaceutical, medical, and veterinary preparations and articles for human and animal healthcare",Specialized articles of clothing for medical purposes
0035734-0057677,28,landing nets for anglers,Dissimilar,18,harness for animals,"Sporting articles, namely, landing nets for use by anglers",Harness for animals
0059263-0058731,13,noise-suppressors for guns,Dissimilar,13,fireworks,"Accessories for firearms, namely, noise-suppressors","Pyrotechnic articles, namely, fireworks"
0046364-0003574,25,clothing,Identical,25,paper hats [clothing],Garments and articles of dress for covering the human body,"Headwear, namely, paper hats"
0050670-0047898,17,"flexible pipes, tubes, hoses, and fittings therefor, including valves, non-metallic",Dissimilar,19,"statues and works of art made of materials such as stone, concrete and marble, included in the class","Flexible non-metallic pipes, tubes, hoses, and their non-metallic fittings including valves, for fluid or granular material transport","Statues and works of art, not of metal, for use as architectural elements or monuments"
0047794-0047926,11,"heating, ventilating, and air conditioning and purification equipment (ambient)",Dissimilar,21,"unworked and semi-worked glass, not specified for use","Apparatus and equipment for heating, ventilating, air conditioning, and ambient air purification","Unworked or semi-worked glass material, not for building purposes, intended for further processing"
0057404-0072794,30,puddings,Dissimilar,30,syrups and treacles,Prepared foodstuff in the nature of puddings,Sweetened food syrups and treacles
0059329-0034273,39,supply of electricity,Identical,39,distribution and transmission of electricity,"Utility services, namely, the supply and distribution of electricity",Services for the distribution and transmission of electricity
GSCSup-0007451-GSCSup-0138431,8,hand tools handoperated,Identical,8,agricultural implements handoperated,Hand-operated tools and implements,Hand-operated agricultural implements
0033313-0048097,9,cleaning apparatus for phonograph records,Dissimilar,9,apparatus and instruments for switching electricity,Cleaning apparatus specifically designed for phonograph records,Electrical apparatus and instruments for switching electricity
0037410-0023832,41,publication of magazines,Dissimilar,35,advertising,Publishing services for magazines,Advertising services
0038316-0048096,21,electric devices for attracting and killing insects,Dissimilar,9,apparatus and instruments for accumulating electricity,Electric household appliances for attracting and killing insects,Electrical apparatus and instruments for accumulating electricity
0080400-0078171,9,dosimeters,Identical,9,measuring devices,Scientific dosimeters for measuring radiation exposure,Scientific and technical measuring instruments and apparatus
0042062-0030979,26,expanding bands for holding sleeves,Dissimilar,26,hooks [haberdashery],Elastic expanding bands for holding up clothing sleeves,Hooks being haberdashery fasteners
0004000-0057028,9,power connectors,Dissimilar,7,steam cleaning machines,Electrical power connectors for apparatus and instruments,Power-operated steam cleaning machines
0043508-0058512,20,furniture,Identical,20,racks [furniture],Movable articles of furniture,"Furniture items for holding, organizing, or displaying objects"
0047533-0011705,3,laundry bleach,Dissimilar,5,vitamin preparations,"Chemical preparations for laundry use, namely, laundry bleach",Dietary supplements and pharmaceutical preparations containing vitamins
0035881-0015559,12,apparatus for locomotion by water,Similar,12,vehicle suspension springs,Vehicles and apparatus for locomotion by water,Metal coil springs for vehicle suspension systems
0059428-0023365,9,radio receivers,Dissimilar,9,cash registers,"Electronic apparatus, namely, radio receivers for receiving and reproducing sound",Electronic accounting apparatus for recording and calculating sales transactions and handling cash
0030502-0072448,3,cosmetics,Identical,3,"shaving sets, comprised of shaving cream and aftershave",Non-medicated cosmetics for beauty and personal care,Set of non-medicated toiletry preparations comprised of shaving cream for facilitating shaving and aftershave for soothing skin
0057123-0048097,9,containers for contact lenses,Dissimilar,9,apparatus and instruments for switching electricity,Cases specifically designed for the storage and hygienic maintenance of contact lenses,Electrical apparatus and instruments for switching electricity
0025613-0047523,33,alcoholic beverages (except beer),Identical,33,alcoholic beverages containing fruit,"Potable alcoholic beverages, excluding beer","Alcoholic beverages, excluding beer, flavored with or containing fruit"
0042510-0046703,16,debit cards without magnetic coding,Dissimilar,36,accident insurance underwriting,Non-magnetic debit cards for financial transactions (as printed matter/stationery items),Underwriting services for accident insurance
0047795-0047916,11,refrigerating and freezing equipment,Dissimilar,21,"tableware, cookware and containers",Apparatus and equipment for refrigerating and freezing,"Household and kitchen utensils for serving, preparing, and storing food, including cookware, tableware, and containers"
0048104-0059063,9,checking (supervision) apparatus and instruments,Dissimilar,9,magnets,Scientific and technical apparatus and instruments for checking and supervision,Physical objects capable of generating a magnetic field for scientific or industrial purposes
0013880-0009059,13,ammunition and projectiles,Similar,13,automatic firearm ammunition belts,"Munitions, including cartridges, bullets, and other projectiles for firearms",Ammunition belts for automatic firearms
GSCSup-0148851-0039612,38,providing an ecommerce platform on the internet,Identical,38,provision of telecommunication access and links to computer databases and to the internet,"Telecommunications services, namely, providing an e-commerce platform on the internet",Telecommunication services providing access and links to computer databases and the internet
0046410-0006231,30,sweetmeats [candy],Dissimilar,31,"fruit, fresh","Edible confectionery, namely sweetmeats in the nature of candy",Fresh fruit (unprocessed)
0030502-0029679,3,cosmetics,Identical,3,wrinkle removing skin care preparations,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic preparations for reducing the appearance of wrinkles
0047385-0045756,44,medical services,Identical,44,health clinic services,"Professional healthcare services, namely, medical services",Health clinic medical services
0046873-0059496,36,finance services,Identical,36,investment services,General financial services for money and asset management,"Financial services, namely, investment services"
0030502-0059497,3,cosmetics,Identical,3,make-up preparations,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic make-up preparations
0032885-0078171,9,speed checking apparatus for vehicles,Identical,9,measuring devices,Speed checking apparatus for measuring vehicle velocity,Scientific and technical measuring instruments and apparatus
0012514-0048054,39,transport,Identical,39,rental of means of transportation,Transportation services,Rental services for temporary use of various means of transportation
0057404-0047262,30,puddings,Dissimilar,29,jams,Prepared foodstuff in the nature of puddings,"Preserved fruit spreads, namely, jams"
0048109-0043216,12,apparatus for locomotion by air,Similar,12,non-skid devices for vehicle tyres,Vehicles and apparatus for locomotion by air,Vehicle accessories in the nature of non-skid devices for improving traction and preventing skidding of vehicle tyres
0030712-0047441,36,accommodation bureau services [apartments],Identical,36,real estate affairs,Accommodation bureau services for apartment rental and leasing,"Services related to real property, namely, managing real estate affairs"
0009687-0031761,30,flour ready for baking,Dissimilar,29,"fish, not live",Prepared flour for baking,"Fish, not live, for human consumption"
0059480-0059484,30,biscuits,Similar,30,cakes,"Baked confectionery products, namely, biscuits","Baked desserts, namely, cakes"
0048067-0070172,41,publishing and reporting,Identical,41,writing of texts,"Services for publishing and reporting, including news and literary works",Text writing services
0009172-0000092,11,apparatus for ventilating,Dissimilar,11,gas cleaners and purifiers,Ventilation apparatus,Apparatus for cleaning and purifying gases
0057620-0057677,22,tents,Dissimilar,18,harness for animals,Portable textile tents for temporary outdoor shelter,Harness for animals
0016148-0059067,33,wine,Dissimilar,32,fruit drinks,Wine [alcoholic beverage],Non-alcoholic beverages made from fruit
0048076-0069632,44,human healthcare services,Identical,44,genetic counseling,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Medical genetic counseling services
0048076-0008604,44,human healthcare services,Identical,44,weight reduction services,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Weight reduction health care services
0012048-0072796,30,baking powder,Dissimilar,30,molasses for food,Baking powder for use as a leavening agent,Molasses for human food consumption
0043399-0024124,28,games,High similar,28,kites,"Games, being recreational playthings",Kites [toys]
0009379-0048108,21,make-up removing appliances,Dissimilar,9,teaching apparatus and instruments,Make-up removing pads and cloths [appliances],Educational apparatus and instruments for teaching
0072421-0007875,30,spices,Dissimilar,29,pollen prepared as foodstuff,Aromatic plant-derived spices for food flavoring,Processed pollen for use as a foodstuff.
0057620-0040118,22,tents,Dissimilar,24,table covers,Portable textile tents for temporary outdoor shelter,"Household linen, namely, table covers"
0057795-0057405,30,ice for refreshment,Dissimilar,30,custard,Frozen water for refreshment,Edible food preparations in the nature of custard for consumption as dessert or as an ingredient
0057584-0071943,7,"soldering irons, electric",Dissimilar,9,fire extinguishers,Electric soldering irons [power-operated tools],Portable fire extinguishers for suppressing small fires
0011715-0030502,3,ethereal oils,Similar,3,cosmetics,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy",Non-medicated cosmetics for beauty and personal care
0035236-0048104,9,spectacle chains,Dissimilar,9,checking (supervision) apparatus and instruments,Chains for holding spectacles,Scientific and technical apparatus and instruments for checking and supervision
0029914-0013858,29,oils for food,Dissimilar,30,noodle-based prepared meals,Edible oils for food preparation and consumption,Prepared food meals consisting primarily of noodles
0046914-0012048,29,"fruit, preserved",Dissimilar,30,baking powder,Preserved fruit for food consumption,Baking powder for use as a leavening agent
0058196-0058197,3,toothpaste,Identical,3,dentifrices,Non-medicated toothpaste,"Non-medicated preparations, namely, dentifrices"
0047734-0013520,9,"safety, security, protection and signalling devices",Dissimilar,11,drying installations,"Electronic and mechanical apparatus and instruments for safety, security, protection, and signalling",Industrial and domestic drying installations and apparatus
0046364-0067223,25,clothing,Identical,25,padded pants for athletic use,Garments and articles of dress for covering the human body,Pants incorporating padding for protection during athletic activities
0047163-0006358,11,heating apparatus,Dissimilar,11,chromatography apparatus for industrial purposes,Apparatus for generating heat,"Industrial chromatography apparatus for environmental control, cooling, or sanitizing purposes"
0018418-0072418,30,propolis,Dissimilar,29,compotes,Propolis for food purposes,"Sweetened fruit preparations, namely, compotes"
0042996-0060026,10,medical apparatus and instruments,Dissimilar,10,compression garments,"Apparatus and instruments for surgical, medical, dental, and veterinary purposes",Compression garments for therapeutic and medical purposes
0058757-0024556,1,fertilizers,Low similar,5,insecticides,Chemical or organic fertilizers for agricultural and horticultural use,"Chemical preparations for destroying insects, namely, insecticides"
0055018-0047583,9,circuit boards provided with integrated circuits,Similar,9,computers,Electronic circuit boards incorporating integrated circuits for use in various apparatus,"Electronic data processing apparatus, namely, computers"
0043473-0002692,29,condensed milk,Dissimilar,30,cocoa,"Condensed milk, being a dairy product",Cocoa powder for food and beverage preparation
0045403-0072774,18,whips,Dissimilar,24,fabrics for textile use,"Flexible striking device, namely whips, for equestrian use",Unfinished fabrics for textile production
0022248-0006231,30,rice,Dissimilar,31,"fruit, fresh","Cereal grain, namely, rice",Fresh fruit (unprocessed)
0024490-0072684,9,weighing apparatus and instruments,Identical,9,weight measuring instruments,Weighing apparatus and instruments,Scientific and industrial instruments for measuring weight
0043508-0005911,20,furniture,Identical,20,furniture of metal,Movable articles of furniture,Metal furniture
0011480-0057908,35,promotion services,Dissimilar,3,perfumes,"Business services, namely, promotion services for advertising and marketing goods or services","Fragrant liquid preparations, namely, perfumes"
0025718-0041416,7,galvanizing machines,Dissimilar,9,calculators,"Industrial machines for galvanizing metal, for applying protective zinc coatings",Electronic calculating devices
0047732-0072390,9,"apparatus, instruments and cables for electricity",Dissimilar,25,footwear,"Electrical apparatus, instruments, and cables for conducting, distributing, and controlling electricity",Articles of footwear for covering and protecting the feet
0058196-0037762,3,toothpaste,Identical,3,non-medicated dentifrices,Non-medicated toothpaste,Non-medicated preparations for cleaning teeth
0011715-0047648,3,ethereal oils,Identical,3,essential oils and aromatic extracts,"Essential oils, also known as ethereal oils, for use in perfumery, cosmetics, and aromatherapy","Natural essential oils and aromatic extracts for perfumery, cosmetics, and aromatherapy"
0040978-0058797,7,incubators for eggs,Dissimilar,7,"door openers, hydraulic",Agricultural incubators for hatching eggs,Hydraulic power-operated machines for opening doors
0071841-0031688,5,pharmaceutical preparations,Low similar,10,pharmaceutical instruments,Medicinal pharmaceutical preparations for human or veterinary use,Medical instruments for pharmaceutical applications
0058869-0059172,25,pants,Identical,25,clothing of leather,Trousers [clothing],Clothing made from leather
0025839-0040409,29,olive oil,Identical,29,edible oils and fats,"Edible oil derived from olives, for use in food preparation",Oils and fats for human consumption
0042843-0001041,30,salt,Dissimilar,30,royal jelly,Edible salt for culinary purposes,Edible royal jelly [foodstuff]
0033492-0048101,7,electroplating machines,Dissimilar,9,apparatus and instruments for conducting electricity,Machines for the process of electroplating,Electrical apparatus and instruments for conducting electricity
0047726-0047926,8,hand-operated hygienic and beauty implements for humans and animals,Dissimilar,21,"unworked and semi-worked glass, not specified for use",Hand-operated implements for human and animal hygienic and beauty care,"Unworked or semi-worked glass material, not for building purposes, intended for further processing"
0023179-0059527,3,laundry blueing,Similar,3,abrasives,Chemical preparations for counteracting yellowing and enhancing the whiteness of fabrics during laundry,"Chemical or mineral preparations, namely, abrasives for grinding, polishing and cleaning"
0058827-0058525,14,precious stones,Similar,14,jewellery,Natural precious stones,Decorative articles for personal adornment
0030020-0046410,29,"game, not live",Dissimilar,30,sweetmeats [candy],"Game meat, not live, for food consumption","Edible confectionery, namely sweetmeats in the nature of candy"
0003173-0072248,7,pistons for engines,Dissimilar,12,aircraft,"Pistons, being mechanical components for engines",Vehicles for air locomotion (aircraft)
0005811-0000447,31,natural plants,Identical,31,"garden herbs, fresh",Live natural plants,Freshly harvested garden herbs for culinary use
0059484-0042813,30,cakes,Similar,30,dessert mousses [confectionery],"Baked desserts, namely, cakes",Ready-to-eat dessert mousses in the nature of confectionery
0057708-0048105,8,electric irons,Dissimilar,9,signalling apparatus and instruments,Hand-operated electric irons for smoothing fabric,Scientific and technical apparatus and instruments for signalling
0018708-0036023,41,production of radio and television programmes,Identical,41,production of cable television programs,Production services for radio and television programmes,Production services for cable television programs
0058092-0047942,18,trunks [luggage],Dissimilar,24,bath linen,"Luggage, namely, trunks","Textile articles for bathroom use, such as towels and bath mats"
0067743-0004232,35,advice on tax preparation,Identical,35,taxation [accountancy] consultation,"Business administration services, namely, advice on tax preparation",Taxation [accountancy] consultation services
0057907-0006015,3,perfumery,Identical,3,scented body spray,"Scented preparations, namely, perfumery",Scented body spray for personal perfumery
0018500-0004654,16,magazines [periodicals],Identical,16,printed publications,Printed magazines [periodicals],Printed informational and entertainment publications
0042465-0075778,38,telecommunication services,Identical,38,"streaming of audio, visual and audiovisual material via a global computer network",Services for transmitting and receiving information via telecommunication networks,"Telecommunications service for streaming of audio, visual and audiovisual material via a global computer network"
0058735-0048109,12,bicycle kickstands,Dissimilar,12,apparatus for locomotion by air,Mechanical kickstands for bicycles,Vehicles and apparatus for locomotion by air
0057908-0016240,3,perfumes,Identical,3,fragrance emitting wicks for room fragrance,"Fragrant liquid preparations, namely, perfumes",Porous wicks impregnated with fragrance for scenting rooms
0020733-0046472,30,sushi,Dissimilar,29,"vegetables, cooked",Prepared food in the nature of sushi,Edible vegetable foodstuffs prepared by cooking
0031723-0007773,15,piano keys,Similar,15,musical instruments,"Piano keys, being parts of musical instruments",Physical musical instruments
0047982-0024247,31,trees and forestry products,Dissimilar,31,"lemons, fresh","Live trees and raw, unprocessed forestry products for cultivation or as raw materials.",Fresh lemons.
0046873-0048025,36,finance services,Identical,36,"financial, monetary and banking services",General financial services for money and asset management,"Professional financial, monetary, and banking services"
0046410-0059484,30,sweetmeats [candy],Similar,30,cakes,"Edible confectionery, namely sweetmeats in the nature of candy","Baked desserts, namely, cakes"
0000361-0072368,17,asbestos,Dissimilar,22,nets,Raw or semi-processed asbestos [mineral material],Meshed fabrics (nets) for various uses
GSCSup-0145016-0043127,38,streaming of audio content via a global computer network,Similar,38,transmission of greeting cards online,"Telecommunications services, namely, streaming of audio content via a global computer network",Telecommunication services for the online transmission of greeting cards
0059490-0015037,43,services for providing food and drink,Low similar,30,confectionery ices,"Hospitality services, namely, services for providing food and drink","Edible frozen confections, namely, flavored ices and sorbets"
0031765-0035972,30,starch for food,Dissimilar,29,milk products,"Starch, being an edible powder for food preparation","Edible food substances derived from milk, namely, milk products"
0022650-0047804,9,diving equipment,Dissimilar,11,"sanitary installations, water supply and sanitation equipment",Apparatus and instruments for facilitating underwater exploration and activity,"Installations, apparatus, and equipment for sanitary purposes, water supply, and sanitation"
0009172-0042571,11,apparatus for ventilating,Identical,11,air impellers for ventilation,Ventilation apparatus,Air impellers for use in ventilation apparatus
0001493-0047441,36,credit bureau services,Dissimilar,36,real estate affairs,Financial services provided by credit bureaus for assessing creditworthiness,"Services related to real property, namely, managing real estate affairs"
