Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Maternity shirts,Garments,Providing comfortable and appropriately sized shirts for pregnant women,Maternity shirts,"The Class 25 description 'Clothing, footwear, headwear' covers clothing for specific demographics or needs. 'Maternity shirts' directly refers to garments for pregnant women, not occupational attire."
Maternity dresses,Garments,Providing comfortable and appropriately sized dresses for pregnant women,Maternity dresses,"The Class 25 description 'Clothing, footwear, headwear' covers clothing for specific needs, and maternity dresses explicitly fit this, designed for wear during pregnancy."
Functional underwear,Undergarments,"Providing specific performance benefits such as moisture-wicking, thermal insulation, or support",Undergarments with specific performance characteristics,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Functional underwear' refers to undergarments. All brainstormed meanings align with this, indicating underwear designed for specific performance or practical functions."
Corduroy shirts,Shirts,"Being worn as an outer garment, constructed from corduroy fabric",Shirts made of corduroy fabric,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Corduroy shirts' are items of clothing. The term clearly specifies the material and type of garment."
Swim wear for children,Clothing,Being worn by children for swimming and other aquatic activities,Clothing for children to wear while swimming,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Swim wear for children' is clothing. The term explicitly defines its use (swimming) and target demographic (children)."
Leather dresses,Dresses,"Being worn as an outer garment, constructed from leather",Dresses made of leather,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Leather dresses' are items of clothing. The term specifies the type of garment and the material."
Imitation leather dresses,Dresses,"Being worn as an outer garment, constructed from imitation leather",Dresses made of imitation leather,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Imitation leather dresses' are items of clothing. The term specifies the type of garment and that it is made from faux leather."
Casual jackets,Jackets,Being worn as an outer garment for informal or everyday occasions,Jackets for casual wear,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Casual jackets' are items of clothing. The term describes a type of outerwear suitable for informal use."
Fleece pullovers,Pullovers,"Being worn as an outer garment for warmth, constructed from fleece material",Pullovers made of fleece fabric,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Fleece pullovers' are items of clothing. The term indicates a specific type of garment (pullover) and its material (fleece)."
Track jackets,Jackets,"Being worn as an outer garment, typically for athletic training or casual sportswear",Jackets for track and athletic wear,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Track jackets' are items of clothing. The term specifies a type of jacket primarily associated with athletic use."
Blue jeans,Trousers,"Being worn as a casual lower body garment, made from blue denim",Trousers made of blue denim fabric,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Blue jeans' are items of clothing. The term specifies the color and material of a common type of trousers."
Toe socks,Socks,"Being worn on the feet, featuring individual coverings for each toe",Socks with individual toe compartments,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Toe socks' are items of clothing, specifically hosiery. The term describes their unique design feature."
Embroidered clothing,Clothing,"Being worn, decorated with stitched designs or patterns via embroidery",Clothing featuring embroidery,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Embroidered clothing' refers to clothing. The term specifies that the clothing has a particular decorative characteristic."
Yoga tops,Tops,Being worn during yoga practice or similar exercise activities,Tops for yoga practice,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Yoga tops' are items of clothing. The term specifies their intended use (yoga) and type (tops)."
Neck tube scarves,Scarves,"Being worn around the neck for warmth or protection, designed in a tubular shape",Tubular scarves for the neck,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Neck tube scarves' are items of clothing, specifically an accessory. The term describes their shape and function."
Underwear and nightwear,Garments,Being worn as undergarments or for sleeping,Undergarments and sleepwear,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Underwear and nightwear' are items of clothing. The term is a collective description for two categories of personal garments."
Down garments,Clothing,"Being worn for warmth, insulated with down feathers",Clothing insulated with down,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Down garments' are items of clothing. The term specifies the insulating material used in the clothing."
Belts,Accessories,Being worn around the waist to hold clothing or for decorative purposes,Belts for clothing,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Belts' are items of clothing accessories. The term refers to the common waist accessory."
Wet suits for waterskiing,Suits,Being worn to provide warmth and protection during waterskiing activities,Wet suits for waterskiing,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Wet suits for waterskiing' are items of clothing. The term specifies the type of suit and its exact sporting purpose."
Clothing for men,Clothing,Being worn by men,Clothing for men,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Clothing for men' is clothing. The term specifies the demographic it is intended for."
Shortsleeve shirts,Shirts,"Being worn as an outer garment, featuring short sleeves",Shirts with short sleeves,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Shortsleeve shirts' are items of clothing. The term specifies the sleeve length of the shirt."
Womens underwear,Undergarments,Being worn by women beneath outer clothing,Undergarments for women,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Womens underwear' is clothing, specifically undergarments. The term specifies the gender it is designed for."
Longsleeved shirts,Shirts,"Being worn as an outer garment, featuring long sleeves",Shirts with long sleeves,"The NICE Class 25 description 'Clothing, footwear, headwear' confirms that 'Longsleeved shirts' are items of clothing. The term specifies the sleeve length of the shirt."
Containers for cigars,Containers,Storing and protecting cigars,Containers for cigars,"The NICE Class 34 description 'Tobacco and tobacco substitutes; cigarettes and cigars; electronic cigarettes and oral vaporizers for smokers; smokers' articles; matches' explicitly lists 'smokers' articles'. 'Containers for cigars' directly falls under this category, indicating items used to hold or protect cigars."
Non-medicated candy,Candy,"Being consumed as a sweet food item, without medicinal ingredients",Non-medicated candy confectionery,"The NICE Class 30 description 'Coffee, tea, cocoa and substitutes therefor; rice, pasta and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; chocolate; ice cream, sorbets and other edible ices; sugar, honey, treacle; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments; ice (frozen water)' explicitly includes 'confectionery'. The term 'non-medicated candy' fits perfectly as a type of confectionery, distinguishing it from pharmaceutical preparations."
Feminine hygiene products,Sanitary preparations,Maintaining feminine personal hygiene,Sanitary preparations for feminine hygiene,"The NICE Class 5 description 'Pharmaceuticals, medical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical or veterinary use, food for babies; dietary supplements for human beings and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides' explicitly mentions 'sanitary preparations for medical purposes'. While not strictly medical, 'feminine hygiene products' fall under sanitary preparations and are categorized here to distinguish from general cosmetics (Class 3)."
Yucca chips,Snack food,"Being consumed as a savory snack, made from yucca",Cooked yucca chips,"The NICE Class 29 description 'Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food' explicitly includes 'preserved, frozen, dried and cooked fruits and vegetables'. 'Yucca chips' are a cooked (fried/baked) form of a vegetable."
Condensed tomatoes,Processed vegetables,"Being used as an ingredient or foodstuff, consisting of tomatoes with reduced water content",Condensed preserved tomatoes,"The NICE Class 29 description 'Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food' explicitly includes 'preserved, frozen, dried and cooked fruits and vegetables'. 'Condensed tomatoes' refers to tomatoes that have been processed to remove water, thus preserved and concentrated for food use."
Paper badges,Badges,"Being worn for identification or decorative purposes, made from paper",Badges made of paper,"The NICE Class 16 description 'Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks' explicitly includes 'paper and cardboard' and 'printed matter'. 'Paper badges' are typically printed items made from paper."
Hand labelling appliances,Appliances,Applying labels manually,Handheld appliances for applying labels,"The NICE Class 16 description 'Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks' explicitly includes 'stationery and office requisites'. Hand labelling appliances are tools used in an office or for stationery purposes to apply labels."
Labels of paper,Labels,"Identifying, marking, or decorating, made from paper",Labels made of paper,"The NICE Class 16 description 'Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks' explicitly includes 'paper and cardboard' and 'printed matter'. 'Labels of paper' clearly falls into this category as printed items made from paper."
Moisteners [office requisites],Appliances,"Moistening stamps, envelopes, or other paper items in an office setting",Moistening appliances for office use,"The NICE Class 16 description 'Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks' explicitly includes 'stationery and office requisites'. The bracketed clarification '[office requisites]' directly confirms its context. These are tools used in an office setting for moistening paper items."
Adhesive tape dispensers [office requisites],Office device,Holding and dispensing adhesive tape for office use,Adhesive tape dispensing device for office use,"The Class 16 description explicitly includes ""stationery and office requisites."" Industrial machinery (meaning 3) is too broad and industrial. Devices for packaging (meaning 1) could be possible, but the specific mention of ""office requisites"" in the original term and class description narrows it to office tools. Meaning 2, ""Office tools for dispensing adhesive tape,"" is the correct interpretation, fitting perfectly with stationery and office requisites."
Self-adhesive tapes for stationery use,Self-adhesive tapes,Securing or attaching items for stationery use,Self-adhesive tapes for stationery and office use,"Class 16 covers ""stationery and office requisites"" and ""adhesives for stationery or household purposes."" Medical adhesive tapes (meaning 3) are clearly out of scope. While tapes for packaging (meaning 1) might exist, the term ""for stationery use"" in the original term explicitly directs to meaning 2, ""Adhesive material used in offices or for crafting,"" which is a perfect fit for Class 16."
Writing tablets,Pads of paper,Providing a surface for writing,Pads of paper for writing,"Class 16 specifically lists ""Paper and cardboard"" and ""stationery."" Electronic devices (meaning 1) are typically Class 9. While drawing tablets (meaning 3) could be electronic or non-electronic, in the context of 'stationery', the most direct and common interpretation is paper-based. Meaning 2, ""Pads of paper for writing,"" directly aligns with the 'Paper and cardboard' and 'stationery' scope of Class 16."
Moisteners for gummed surfaces [office requisites],Office device,Moistening gummed surfaces such as stamps or envelopes,Office moistener for gummed surfaces,"Class 16 includes ""stationery and office requisites"" and ""adhesives for stationery or household purposes."" Industrial humidifiers (meaning 2) and moisturizing creams (meaning 3) are entirely out of scope. Meaning 1, ""Devices for moistening stamps or envelopes,"" directly pertains to the use of gummed stationery items in an office context, fitting perfectly within Class 16."
Note pads,Stacks of paper,Providing a surface for writing notes,Pads of paper for writing notes,"Class 16 covers ""Paper and cardboard"" and ""stationery and office requisites."" Electronic devices (meaning 1) fall under Class 9. Protective padding (meaning 3) is unrelated. Meaning 2, ""Stacks of paper bound together for writing notes,"" aligns perfectly with the 'Paper and cardboard' and 'stationery' elements of the Class 16 description."
Writing and stamping implements,Hand-held tools,"Writing, drawing, or stamping marks",Hand-held implements for writing and stamping,"Class 16 includes ""stationery and office requisites,"" ""drawing materials and materials for artists,"" and ""printers' type, printing blocks."" Industrial machines (meaning 2) and livestock branding devices (meaning 3) are outside the scope of this class. Meaning 1, ""Tools for writing, drawing, and applying marks,"" encompasses items like pens, pencils, and hand stamps, which are standard stationery and office requisites."
Correcting and erasing implements,Stationery tools,Correcting and erasing mistakes on written or printed surfaces,Stationery implements for correcting and erasing,"Class 16 specifies ""stationery and office requisites."" Software (meaning 2) belongs to Class 9, and industrial equipment (meaning 3) is unrelated. Meaning 1, ""Tools for correcting mistakes on paper,"" such as erasers, correction fluid, or correction tape, perfectly fits within the context of stationery and office requisites."
Marking pens [stationery],Pens,Marking or highlighting for stationery purposes,Stationery marking pens,"Class 16 explicitly includes ""stationery and office requisites."" Industrial markers (meaning 2) and surgical pens (meaning 3) are outside this scope. Meaning 1, ""Pens used for highlighting or permanent marking on paper,"" directly aligns with ""stationery"" as specified in the original term and class description."
Felt marking pens,Pens with felt tips,"Writing, drawing, or marking surfaces",Felt-tipped marking pens for stationery use,"Class 16 includes ""stationery and office requisites"" and ""drawing materials and materials for artists."" Meaning 2 (marking felt fabric) and meaning 3 (pens containing felt) are less common or specific interpretations in a general stationery context. Meaning 1, ""Pens with felt tips for writing or drawing,"" is a well-known type of marking pen used as stationery or for artistic purposes, fitting the class description."
Files [office requisites],Physical containers,Storing and organizing documents in an office,Office files for document storage and organization,"The term explicitly states ""[office requisites]"" and Class 16 includes ""stationery and office requisites."" Digital files (meaning 1) are Class 9. Tools for shaping (meaning 3) are typically Class 8. Meaning 2, ""Physical folders or containers for documents,"" directly aligns with the 'office requisites' for organizing paper and cardboard."
Folders [stationery],Physical covers,Organizing and protecting papers for stationery use,Stationery folders for organizing papers,"The term explicitly states ""[stationery]"" and Class 16 includes ""Paper and cardboard"" and ""stationery and office requisites."" Digital folders (meaning 1) are Class 9. Folding machines (meaning 3) are typically Class 7. Meaning 2, ""Physical covers or containers for papers,"" aligns directly with ""stationery"" for organizing paper documents."
Blank forms,Printed paper documents,Providing structured fields for data entry or record keeping,Blank paper forms for record keeping,"Class 16 covers ""Paper and cardboard"" and ""printed matter."" Digital forms (meaning 2) are typically software (Class 9) or downloadable media (Class 9). Molds (meaning 3) are unrelated to Class 16. Meaning 1, ""Paper documents with empty fields,"" fits perfectly within ""printed matter"" and stationery."
Cardboard labels,Labels made from cardboard,Providing identification or information for various items,Cardboard labels for identification,"Class 16 clearly states ""Paper and cardboard"" and ""printed matter."" Digital labels (meaning 3) are out of scope. Labels for packaging cardboard boxes (meaning 2) is a specific application, but the primary nature is the label itself. Meaning 1, ""Labels made from cardboard for identification,"" is the most general and appropriate interpretation for the class, as they are paper-based printed matter."
Yeast and leavening agents,Food ingredients,Causing dough to rise and ferment in baking,Yeast and leavening agents for baking,"Class 30 explicitly lists ""yeast, baking-powder"" under food ingredients. Ingredients for industrial fermentation (meaning 2) would generally be in Class 1, and health supplements (meaning 3) are Class 5. Meaning 1, ""Microorganisms and chemical compounds used in baking,"" directly matches the class description for food additives."
Sauces for barbecued meat,Edible condiment,Flavoring barbecued meat,Edible sauces for flavoring barbecued meat,"Class 30 explicitly includes ""sauces and other condiments."" Cleaning solutions (meaning 2) are Class 3. Marinades (meaning 3) would fit Class 30 if their primary function is flavoring. Given the specific term ""sauces for barbecued meat,"" meaning 1, ""Condiments specifically formulated for grilling meat,"" is the most direct and accurate fit within the scope of edible sauces and condiments."
Pepper sauces,Edible condiment,Flavoring food with pepper,Edible pepper sauces for food flavoring,"Class 30 explicitly includes ""sauces and other condiments."" Pesticides (meaning 2) and topical pain relief creams (meaning 3) are Class 5. Meaning 1, ""Edible sauces containing pepper as a primary ingredient,"" fits perfectly within the scope of edible sauces and condiments for consumption."
Chili sauce,Edible condiment,Adding spicy flavor to food,Edible chili sauce for flavoring food,"Class 30 explicitly includes ""sauces and other condiments."" Herbal remedies (meaning 2) are Class 5. Cleaning agents (meaning 3) are Class 3. Meaning 1, ""Spicy edible condiment made from chili peppers,"" is a direct match for the class description of edible sauces."
Sauce [edible],Edible liquid condiment,Flavoring or accompanying food,Edible sauces,"Class 30 explicitly lists ""sauces and other condiments."" The term itself specifies ""[edible]"", removing ambiguity. Meanings 2 (cooking method) and 3 (industrial component) are irrelevant to this class. Meaning 1, ""General liquid condiment for food,"" is the most straightforward and accurate interpretation."
Spicy sauces,Edible condiment,Adding a piquant or hot flavor to food,Edible spicy sauces,"Class 30 explicitly lists ""sauces and other condiments."" Sauces for self-defense (meaning 2) would typically be Class 5 or 13. Meaning 3 describes a characteristic of spicy sauces but meaning 1, ""Edible condiments with a piquant flavor,"" is the most general and direct definition that fits Class 30."
Imitation mayonnaise,Edible food spread,"Serving as a condiment or ingredient, mimicking mayonnaise",Edible imitation mayonnaise,"Class 30 explicitly lists ""sauces and other condiments,"" which includes mayonnaise. Meanings 2 (non-food product) and 3 (toy food item) are irrelevant to Class 30. Meaning 1, ""Food spread designed to resemble mayonnaise,"" directly fits within edible sauces/condiments."
Sauces for rice,Edible condiment,Flavoring or accompanying rice dishes,Edible sauces for flavoring rice,"Class 30 explicitly lists ""sauces and other condiments"" and ""rice."" Solutions for cooking rice (meaning 2) could be seasonings (Class 30) but if a processing agent, it might differ. Dressings (meaning 3) are a specific type of sauce. Meaning 1, ""Edible condiments specifically designed to accompany rice dishes,"" covers the broadest and most accurate interpretation of ""sauces for rice"" within the Class 30 context, as rice is also mentioned."
Cooking sauces,Edible liquid preparation,Used as an ingredient to flavor and moisten food during cooking,Edible cooking sauces,"Class 30 explicitly lists ""sauces and other condiments."" Cleaning agents (meaning 3) are Class 3. Sauces for cooking equipment (meaning 2) are not food products. Meaning 1, ""Edible liquid preparations used as an ingredient during cooking,"" is the correct interpretation for Class 30, as they are food preparations."
Mayonnaise with pickles,Edible condiment blend,"Flavoring food, combining mayonnaise and pickle flavors",Edible mayonnaise blended with pickles,"Class 30 explicitly lists ""sauces and other condiments."" Mayonnaise is a condiment. While pickles are Class 29 (preserved vegetables), when combined with mayonnaise to form a new sauce, the resulting compound product fits squarely into Class 30 as a condiment. Meanings 2 (pickles as primary) and 3 (recipe) are less direct. Meaning 1, ""An edible condiment consisting of mayonnaise mixed with pickles,"" is the most accurate for a finished food product."
Barbecue sauce,Edible condiment,"Flavoring foods, especially those prepared by barbecuing",Edible barbecue sauce,"Class 30 explicitly lists ""sauces and other condiments."" Cleaning sauces (meaning 2) are Class 3. Cooking oils (meaning 3) are Class 29. Meaning 1, ""An edible condiment used for barbecued foods,"" is the most direct and accurate interpretation for Class 30, as it is a food flavoring."
Hot sauce,Edible condiment,Adding a spicy flavor to food,Edible hot sauce,"Class 30 explicitly lists ""sauces and other condiments."" The ""hot"" in hot sauce refers to spiciness, not physical temperature (meaning 2) or heating food (meaning 3). Meaning 1, ""A spicy edible condiment,"" is the correct interpretation, fitting the definition of edible sauces."
Sauces for chicken,Edible condiment,Flavoring or accompanying chicken dishes,Edible sauces for flavoring chicken,"Class 30 explicitly lists ""sauces and other condiments."" Cleaning solutions (meaning 3) are Class 3. Marinades or glazes (meaning 2) are a type of sauce whose primary purpose is flavoring, thus fitting Class 30. Meaning 1, ""Edible condiments specifically formulated for chicken dishes,"" is the most general and appropriate interpretation for Class 30."
Vegan mayonnaise,Edible plant-based food spread,"Serving as a condiment or ingredient, mimicking traditional mayonnaise for vegan diets",Edible vegan mayonnaise,"Class 30 explicitly lists ""sauces and other condiments,"" which includes mayonnaise. The term ""Vegan"" specifies the dietary characteristic. Meanings 2 and 3 are clearly incorrect for this class, as they relate to animal food or non-food products. Meaning 1, ""An egg-free, plant-based edible spread mimicking mayonnaise,"" is a direct fit for an edible condiment."
Abalones [not live],Processed edible seafood,Consumption as food,Processed abalones (not live) for food,"Class 29 covers ""Meat, fish, poultry and game"" and ""preserved, frozen, dried and cooked fruits and vegetables."" The term explicitly states ""[not live],"" ruling out live abalones (meaning 2) which would be Class 31. Decorative shells (meaning 3) are Class 20. Meaning 1, ""Edible seafood, processed for consumption,"" directly fits with the ""fish"" category in Class 29."
Frozen shellfish,Edible seafood product,Consumption as a frozen food item,Frozen edible shellfish,"Class 29 covers ""Meat, fish, poultry and game"" and ""preserved, frozen, dried and cooked fruits and vegetables."" The term directly states ""Frozen shellfish,"" implying it's for food preservation. Live shellfish (meaning 2) and shellfish as bait (meaning 3) would be Class 31. Meaning 1, ""Edible shellfish preserved by freezing,"" aligns perfectly with the class description."
Provision of commercial finance,Financial service,Providing funding and capital to businesses,Commercial finance provision services,"Class 36 explicitly covers ""Financial, monetary and banking services."" Software (meaning 2) is Class 9, and educational courses (meaning 3) are Class 41. Meaning 1, ""Services for lending money or providing capital to businesses,"" is a direct match for ""commercial finance"" within financial services."
Trusteeship representatives,Financial administration services,Acting as a trustee for financial assets or estates,Financial administration services provided by trusteeship representatives,"The NICE Class 36 description 'Financial, monetary and banking services; insurance services; real estate services' indicates that 'Trusteeship representatives' refers to the provision of financial administration services by those acting as trustees, rather than the individuals themselves or legal representation."
Financial advisory and management services,Financial consultancy and administration services,Providing expert advice and overseeing financial assets and strategies,Financial advisory and financial management services,"The term directly describes the provision of both financial advice and management, which perfectly aligns with the 'Financial, monetary and banking services' listed in Class 36. There is no ambiguity in its meaning."
Financial risk management services,Financial consultancy services,"Identifying, assessing, and mitigating financial risks for clients",Financial risk assessment and management services,"Given Class 36 covers 'Financial, monetary and banking services' and 'insurance services', 'Financial risk management services' clearly refers to the specialized service of identifying, assessing, and mitigating financial risks for clients, rather than just selling insurance products."
Financial advisory services relating to assets management,Financial consultation services,Advising clients on the strategic management and optimization of their financial assets,Financial advisory services specifically relating to the management of assets,"The term is explicit and directly aligns with the 'Financial, monetary and banking services' of Class 36. It refers to professional advice given concerning the management of financial assets."
Bank account information services,Banking information services,Providing access to or reporting on bank account data and activities,Banking services providing information relating to bank accounts,"Class 36 specifically includes 'Banking services'. This term refers to services that provide information related to bank accounts, which is a direct component of banking operations."
Personal financial planning services,Financial consultancy services,Assisting individuals in planning and managing their personal financial affairs to achieve specific goals,Personal financial planning and consultancy services,"Class 36 covers 'Financial... services'. This term describes financial services tailored for individual planning, such as retirement planning, investment planning, and budgeting, clearly differentiating it from software (Class 9) or education (Class 41)."
Investment of money (Services for -),Financial management services,Managing and allocating funds into various financial instruments with the aim of generating returns,Services for the investment of money,"The parenthetical 'Services for -' explicitly indicates this is a service. Class 36 covers 'Financial... services' including investment, making it a direct fit for the service of investing money on behalf of clients."
Conducting of financial transactions,Financial processing services,"Executing monetary operations, payments, and other financial transfers",Services for the conducting of financial transactions,"Class 36 encompasses 'Financial, monetary and banking services'. This term directly describes the core function of executing various financial operations, which is central to banking and financial services."
Asset allocation,Financial advisory and management services,Strategically distributing financial assets across different investment categories to optimize risk and return,Financial asset allocation services,"In the context of Class 36, which covers 'Financial, monetary and banking services', 'Asset allocation' refers to the professional service of advising on or directly managing the distribution of a client's investments across various asset classes, not merely the strategy or software."
Direct debit services,Banking payment processing services,Facilitating automated collection of recurring payments from a customer's bank account,Banking services for processing direct debits,"Class 36 includes 'Banking services'. Direct debit is a specific financial transaction processing service provided by banks or financial institutions, making it a clear match."
Electronic banking services,Digital banking services,Providing access to banking functions and transactions via electronic platforms,Banking services provided electronically,"Class 36 explicitly covers 'Banking services'. This term describes banking services delivered through electronic means, fitting perfectly within the class definition."
Financing services for companies,Corporate finance services,Providing financial capital or facilitating the acquisition of funds for businesses,Financial services for the financing of companies,"Class 36 covers 'Financial... services'. This term is a clear fit, referring to services that provide funding or help companies secure funding, directly aligning with corporate financial services."
Financial forecasting,Financial analysis and advisory services,Predicting future financial performance and market trends to aid in financial planning and decision-making,Financial forecasting services,"Class 36 covers 'Financial... services'. In this context, 'Financial forecasting' refers to the *service* of analyzing financial data and economic trends to predict future financial performance or market conditions for clients, not merely the concept or software (Class 9)."
Capital investment consultation,Financial advisory services,Providing expert advice and guidance on strategies for capital investment,Capital investment consultation services,"Class 36 covers 'Financial... services', specifically 'investment'. This term clearly refers to professional advisory services regarding capital investments, making it a direct match."
Administration of financial affairs,Financial management services,Overseeing and managing the financial operations and assets of individuals or entities,Services for the administration of financial affairs,"Class 36 covers 'Financial, monetary and banking services'. This term clearly falls under the umbrella of managing financial matters for clients, which is a core financial service, distinct from general bookkeeping (Class 35) or purely legal administration (Class 45)."
Trade finance services,Financial services,Providing financial instruments and solutions to facilitate domestic and international trade transactions,Financial services for trade,"Class 36 covers 'Financial, monetary and banking services'. Trade finance is a specialized area of financial services dealing with transactions related to international and domestic trade, making this a direct and unambiguous fit."
Financial research,Financial analysis services,"Conducting investigations and analyses of financial markets, companies, or economic conditions to provide insights for financial decision-making",Financial research and analysis services,"Class 36 covers 'Financial... services'. In this context, 'Financial research' refers to the *service* of conducting investigations and analyses into financial markets, companies, or economic conditions to inform investment or financial decisions, distinguishing it from purely academic research (Class 42)."
Financial advice relating to investment,Financial advisory services,Providing expert recommendations and guidance regarding investment strategies and opportunities,Financial advice services relating to investment,"Class 36 covers 'Financial... services' and 'investment'. The term explicitly refers to providing professional advice concerning investments, making it a direct and clear match for financial services."
Investment analysis,Financial analysis services,"Evaluating financial assets, markets, and economic trends to determine their value, risk, and potential for return",Financial investment analysis services,"Class 36 covers 'Financial... services' and 'investment'. 'Investment analysis' refers to the *service* of scrutinizing financial assets, markets, and economic trends to assess their value and risk, typically provided to inform investment decisions, rather than the generic process or a software product (Class 9)."
Management of financial assets,Financial management services,Overseeing and strategically handling financial portfolios and investments on behalf of clients,Financial asset management services,"Class 36 covers 'Financial... services'. This term directly describes a core financial service involving the professional oversight and strategic handling of financial assets for clients, which is an explicit fit."
Processing of credit card payments,Financial transaction processing services,"Facilitating the authorization, clearing, and settlement of credit card transactions",Services for the processing of credit card payments,"Class 36 covers 'Financial, monetary and banking services'. Processing credit card payments is a fundamental financial service, often provided by banks or payment processors, making it an exact match."
Bank account and savings account services,Banking services,Providing facilities for managing funds through bank accounts and savings accounts,Banking services for managing bank accounts and savings accounts,"Class 36 explicitly covers 'Banking services'. This term directly refers to the array of services associated with operating both bank accounts and savings accounts, making it a perfect fit."
Organising of charitable collections,Financial fundraising and administration services,Arranging and managing the collection of monetary donations for charitable purposes,Financial services for the organizing of charitable collections,"In the context of Class 36 'Financial... services', 'Organising of charitable collections' refers to the *financial management* or *fundraising* aspect of gathering and administering monetary donations, rather than general event planning (Class 41)."
Financial guardianship,Financial management services,Managing and overseeing the financial affairs and assets of another person as their designated guardian,Financial guardianship and management services,"Class 36 covers 'Financial... services'. This term refers to the service of managing the financial affairs of another person (e.g., a minor, an incapacitated adult) as their guardian, focusing on the financial administration aspect rather than the legal appointment (Class 45)."
Automated banking services,Digital banking services,Providing banking functions and transactions through automated systems,Automated banking services,"Class 36 explicitly covers 'Banking services'. This term refers to banking services that are performed automatically or through automated systems (e.g., ATMs, online banking features), fitting directly into the scope of banking services."
Provision of current accounts,Banking services,Offering and maintaining current (checking) accounts for daily financial transactions,Banking services for the provision of current accounts,"Class 36 explicitly covers 'Banking services'. The provision of current accounts is a core banking service, making it a direct and unambiguous match."
Financial analysis and research services,Financial analysis and advisory services,Conducting in-depth analysis and research on financial data and markets to provide insights and recommendations,Financial analysis and financial research services,"Class 36 covers 'Financial... services'. This term directly describes services involving both the analysis of financial data and the research into financial markets/companies, which are core financial services, making it a precise fit."
Electronic payment services,Financial payment processing services,Facilitating the transfer of funds and completion of transactions through electronic methods,Electronic payment processing services,"Class 36 covers 'Financial, monetary and banking services'. This term clearly refers to services that facilitate payments through electronic means, which is a key financial service, and therefore a direct match."
Financial information processing,Financial data management services,"Collecting, organizing, and managing financial data for analysis, reporting, and operational efficiency",Financial information processing services,"Class 36 covers 'Financial, monetary and banking services'. This term refers to the *service* of collecting, organizing, and managing financial data specifically for analysis or reporting within the financial sector, differentiating it from generic data processing (Classes 35, 42) or software (Class 9)."
Securities trading services,Financial brokerage services,Facilitating the buying and selling of financial securities on behalf of clients,Securities trading and brokerage services,"Class 36 covers 'Financial... services' and 'investment'. This term directly refers to services facilitating the buying and selling of securities, which is a core financial market activity, making it an accurate and clear match."
Personal finance services,Financial advisory and management services,"Assisting individuals in managing their financial resources, planning for future goals, and making informed financial decisions",Financial advisory and management services for individuals,"The class description 'Financial, monetary and banking services' perfectly matches 'services helping individuals manage their money'. Meanings related to software or books refer to products, not the service itself."
